Ranking,Model,Paper Title,Accuracy,Parameters,Parameters (missing),Paper Link,Year,Tags,Industry Affiliation,Academia Affiliation
284,ViT-B/16-SAM,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations,79.90%,,87M,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets,2021,Transformer,Google Brain,UCLA
285,RegNetY-8.0GF,Designing Network Design Spaces,79.90%,,39.2M,https://paperswithcode.com/paper/designing-network-design-spaces,2020,,Facebook AI Research,
286,SKNet-101,Selective Kernel Networks,79.81%,,48.9M,https://paperswithcode.com/paper/selective-kernel-networks,2019,,Momenta,"Nanjing University, Nanjing University of Science and Technology, Tsinghua University"
287,CSPResNeXt-50,CSPNet: A New Backbone that can Enhance Learning Capability of CNN,79.80%,95.20%,20.5M,https://paperswithcode.com/paper/cspnet-a-new-backbone-that-can-enhance,2019,,,National Chiao Tung University
288,CSPResNeXt-50 + Mish,Mish: A Self Regularized Non-Monotonic Activation Function,79.80%,95.20%,,https://paperswithcode.com/paper/mish-a-self-regularized-non-monotonic-neural,2019,,,KIIT
289,EfficientNet-B2,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,79.80%,94.90%,9.2M,https://paperswithcode.com/paper/efficientnet-rethinking-model-scaling-for,2019,EfficientNet,Google Brain,
290,FixResNet-50 CutMix,Fixing the train-test resolution discrepancy,79.80%,94.90%,,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy,2019,ResNet,Facebook AI Research,
291,DVT,Not All Images are Worth 16x16 Words: Dynamic Transformers for Efficient Image Recognition,79.74%,,,https://paperswithcode.com/paper/not-all-images-are-worth-16x16-words-dynamic,2021,Transformer,Huawei Inc.,"Beijing Academy of Intelligence, Tsinghua University"
292,ResMLP-36,ResMLP: Feedforward networks for image classification with data-efficient training,79.70%,,45M,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image,2021,,"Facebook AI Research, Valeo","Inria, Sorbonne University"
293,Grafit,Grafit: Learning fine-grained image representations with coarse labels,79.60%,,,https://paperswithcode.com/paper/grafit-learning-fine-grained-image,2020,ResNet,Facebook AI Research,Sorbonne University
294,LeViT-128,LeViT: a Vision Transformer in ConvNet's Clothing for Faster Inference,79.60%,,,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s,2021,Transformer,Facebook,
295,WideNet-L,Go Wider Instead of Deeper,79.49%,,40M,https://paperswithcode.com/paper/go-wider-instead-of-deeper,2021,,,National University of Singapore
296,MultiGrain R50-AA-500,MultiGrain: a unified image embedding for classes and instances,79.40%,94.80%,,https://paperswithcode.com/paper/multigrain-a-unified-image-embedding-for,2019,,Facebook AI Research,
297,SENet-50,Bottleneck Transformers for Visual Recognition,79.40%,94.60%,28.02M,https://paperswithcode.com/paper/bottleneck-transformers-for-visual,2021,,Google,UC Berkeley
298,TinyNet,"Model Rubik's Cube: Twisting Resolution, Depth and Width for TinyNets",79.40%,94.50%,11.9M,https://paperswithcode.com/paper/model-rubik-s-cube-twisting-resolution-depth,2020,,Huawei Inc.,
299,ResNet-50,Adversarial AutoAugment,79.40%,94.47%,,https://paperswithcode.com/paper/adversarial-autoaugment-1,2019,ResNet,"Facebook AI Research, Valeo","Inria, Sorbonne University"
300,ResMLP-24,ResMLP: Feedforward networks for image classification with data-efficient training,79.40%,,30M,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image,2021,,Facebook AI Research,
301,RegNetY-4.0GF,Designing Network Design Spaces,79.40%,,20.6M,https://paperswithcode.com/paper/designing-network-design-spaces,2020,,,Nanjing University
302,LIP-ResNet-101,LIP: Local Importance-based Pooling,79.33%,94.60%,42.9M,https://paperswithcode.com/paper/lip-local-importance-based-pooling,2019,,ByteDance,Peking University
303,RedNet-152,Involution: Inverting the Inherence of Convolution for Visual Recognition,79.30%,,34M,https://paperswithcode.com/paper/involution-inverting-the-inherence-of,2021,,Qihoo 360,"National University of Singapore, Beijing Institute of Technology, National University of Defense Technology"
304,DPN-92,Dual Path Networks,79.27%,94.63%,,https://paperswithcode.com/paper/dual-path-networks,2017,,LG CNS,Seoul National University of Science and Technology
305,PS-KD,Self-Knowledge Distillation with Progressive Refinement of Targets,79.24%,94.66%,,https://paperswithcode.com/paper/self-knowledge-distillation-a-simple-way-for,2020,ResNet,Alibaba ,Swinburne University of Technology
306,RVT-Ti*,Towards Robust Vision Transformer,79.20%,94.70%,10.9M,https://paperswithcode.com/paper/rethinking-the-design-principles-of-robust,2021,Transformer,Google Brain,Carnegie Mellon University
307,ResNet-101,Revisiting Unreasonable Effectiveness of Data in Deep Learning Era,79.20%,94.70%,,https://paperswithcode.com/paper/revisiting-unreasonable-effectiveness-of-data,2017,ResNet,Intel Corp.,Carnegie Mellon University
308,Multiscale DEQ,Multiscale Deep Equilibrium Models,79.20%,,,https://paperswithcode.com/paper/multiscale-deep-equilibrium-models,2020,,SenseTime,
309,ScaleNet-101,Data-Driven Neuron Allocation for Scale Aggregation Networks,79.18%,94.58%,,https://paperswithcode.com/paper/190409460,2019,,Facebook AI Research,
310,FixResNet-50,Fixing the train-test resolution discrepancy,79.10%,94.60%,25.6M,https://paperswithcode.com/paper/fixing-the-train-test-resolution-discrepancy,2019,ResNet,Google Brain,
311,AA-ResNet-152,Attention Augmented Convolutional Networks,79.10%,94.60%,,https://paperswithcode.com/paper/190409925,2019,,ByteDance,Peking University
312,RedNet-101,Involution: Inverting the Inherence of Convolution for Visual Recognition,79.10%,,25.6M,https://paperswithcode.com/paper/involution-inverting-the-inherence-of,2021,,Naver Corp.,Sogang University
313,PiT-XS,Rethinking Spatial Dimensions of Vision Transformers,79.10%,,10.6M,https://paperswithcode.com/paper/rethinking-spatial-dimensions-of-vision,2021,Transformer,Google Brain,Carnegie Mellon University
314,ResNet-50,Unsupervised Data Augmentation for Consistency Training,79.04%,,,https://paperswithcode.com/paper/unsupervised-data-augmentation-1,2019,ResNet,Google,
315,Xception,Xception: Deep Learning with Depthwise Separable Convolutions,79%,94.50%,22.8M,https://paperswithcode.com/paper/xception-deep-learning-with-depthwise,2016,,Baidu Inc.,
316,MobileNetV3_large_x1_0_ssld,Semi-Supervised Recognition under a Noisy and Fine-grained Dataset,79.00%,94.50%,5.47M,https://paperswithcode.com/paper/semi-supervised-recognition-under-a-noisy-and,2020,,Google Brain,
317,SpineNet-143,SpineNet: Learning Scale-Permuted Backbone for Recognition and Localization,79%,94.40%,60.5M,https://paperswithcode.com/paper/spinenet-learning-scale-permuted-backbone-for,2019,,Google Brain,UCLA
318,Mixer-B/8-SAM,When Vision Transformers Outperform ResNets without Pre-training or Strong Data Augmentations,79%,,64M,https://paperswithcode.com/paper/when-vision-transformers-outperform-resnets,2021,,PicsArt Inc.,"University of Oregon, UIUC"
319,ConvMLP-M,ConvMLP: Hierarchical Convolutional MLPs for Vision,79%,,17.4M,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for,2021,,Google,
320,InceptionV3,Filter Response Normalization Layer: Eliminating Batch Dependence in the Training of Deep Neural Networks,78.95%,94.49%,,https://paperswithcode.com/paper/filter-response-normalization-layer,2019,,Samsung,"Cornell University, Higher School of Economics, Lomonosov Moscow State University"
321,ResNet-152 + SWA,Averaging Weights Leads to Wider Optima and Better Generalization,78.94%,,,https://paperswithcode.com/paper/averaging-weights-leads-to-wider-optima-and,2018,ResNet,,"Tianjin University, Dalian University of Technology, Harbin Institute of Technology"
322,ECA-Net,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks,78.92%,94.55%,57.40M,https://paperswithcode.com/paper/eca-net-efficient-channel-attention-for-deep,2019,ResNet,Google Brain,
323,MixNet-L,MixConv: Mixed Depthwise Convolutional Kernels,78.90%,94.20%,7.3M,https://paperswithcode.com/paper/mixnet-mixed-depthwise-convolutional-kernels,2019,,Google,UC Berkeley
324,ResNet-50,Bottleneck Transformers for Visual Recognition,78.80%,94.50%,25.5M,https://paperswithcode.com/paper/bottleneck-transformers-for-visual,2021,ResNet,Google Brain,Carnegie Mellon University
325,NoisyStudent,Self-training with Noisy Student improves ImageNet classification,78.80%,94.50%,5.3M,https://paperswithcode.com/paper/self-training-with-noisy-student-improves,2019,EfficientNet,Google Brain,
326,EfficientNet-B1,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,78.80%,94.40%,7.8M,https://paperswithcode.com/paper/efficientnet-rethinking-model-scaling-for,2019,EfficientNet,Facebook AI Research,
327,RegNetY-1.6GF,Designing Network Design Spaces,78.80%,,11.2M,https://paperswithcode.com/paper/designing-network-design-spaces,2020,,Google ,University College London
328,Inception V3,Rethinking the Inception Architecture for Computer Vision,78.80%,,,https://paperswithcode.com/paper/rethinking-the-inception-architecture-for,2015,,SenseTime ,"Nanyang Technological University, HKUST"
329,CeiT-T,Incorporating Convolution Designs into Visual Transformers,78.80%,,,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual,2021,Transformer,Momenta,"Nanjing University of Science and Technology, Tsinghua University"
330,SGE-ResNet101,Spatial Group-wise Enhance: Improving Semantic Feature Learning in Convolutional Networks,78.80%,94.37%,,https://paperswithcode.com/paper/spatial-group-wise-enhance-improving-semantic,2019,,Megvii,"Beijing National Research Center for Information Science and Technology, Tsinghua University, HKUST, Aberystwyth University"
331,RepVGG-B2,RepVGG: Making VGG-style ConvNets Great Again,78.78%,,80.31M,https://paperswithcode.com/paper/repvgg-making-vgg-style-convnets-great-again,2021,,,Seoul National University
332,ResNet-50,Puzzle Mix: Exploiting Saliency and Local Statistics for Optimal Mixup,78.76%,,,https://paperswithcode.com/paper/puzzle-mix-exploiting-saliency-and-local-1,2020,ResNet,"IIAI, SenseTime","Nanjing University, The University of Hong Kong, Nanjing University of Science and Technology"
333,PVTv2-B1,PVTv2: Improved Baselines with Pyramid Vision Transformer,78.70%,,13.1M,https://paperswithcode.com/paper/pvtv2-improved-baselines-with-pyramid-vision,2021,,Google Brain,Carnegie Mellon University
334,ResNet-50,AutoDropout: Learning Dropout Patterns to Regularize Deep Networks,78.70%,,,https://paperswithcode.com/paper/autodropout-learning-dropout-patterns-to,2021,ResNet,,"Tianjin University, Dalian University of Technology, Harbin Institute of Technology"
335,ECA-Net,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks,78.65%,94.34%,42.49M,https://paperswithcode.com/paper/eca-net-efficient-channel-attention-for-deep,2019,ResNet,Megvii,"Beijing National Research Center for Information Science and Technology, Tsinghua University, HKUST, Aberystwyth University"
336,RepMLP-Res50,RepMLP: Re-parameterizing Convolutions into Fully-connected Layers for Image Recognition,78.60%,,52.77M,https://paperswithcode.com/paper/repmlp-re-parameterizing-convolutions-into,2021,,,"Beihang University, Johns Hopkins University, University of Science and Technology China, Xidian University, Zhengzhou University"
337,Visformer-Ti,Visformer: The Vision-friendly Transformer,78.60%,,10.3M,https://paperswithcode.com/paper/visformer-the-vision-friendly-transformer,2021,Transformer,,"Nankai University, University of Oxford, UC Merced"
338,Res2Net-50-299,Res2Net: A New Multi-scale Backbone Architecture,78.59%,94.12%,,https://paperswithcode.com/paper/res2net-a-new-multi-scale-backbone,2019,,Microsoft,
339,ResNet-152,Deep Residual Learning for Image Recognition,78.57%,94.29%,,https://paperswithcode.com/paper/deep-residual-learning-for-image-recognition,2015,ResNet,,
340,HCGNet-B,Gated Convolutional Networks with Hybrid Connectivity for Image Classification,78.50%,94.10%,12.9M,https://paperswithcode.com/paper/gated-convolutional-networks-with-hybrid,2019,,Megvii,"Beijing National Research Center for Information Science and Technology, Tsinghua University, HKUST, Aberystwyth University"
341,RepVGG-B2g4,RepVGG: Making VGG-style ConvNets Great Again,78.50%,,55.77M,https://paperswithcode.com/paper/repvgg-making-vgg-style-convnets-great-again,2021,,Microsoft Asia,"UC Berkeley, University of Science and Technology China"
342,ResNet-50-DW,Deformable Kernels: Adapting Effective Receptive Fields for Object Deformation,78.50%,,,https://paperswithcode.com/paper/deformable-kernels-adapting-effective,2019,ResNet,Qihoo 360,"National University of Singapore, Beijing Institute of Technology, National University of Defense Technology"
343,DPN-68,Dual Path Networks,78.49%,94.48%,,https://paperswithcode.com/paper/dual-path-networks,2017,,Huawei Inc.,"Beijing Academy of Intelligence, Tsinghua University"
344,DVT,Not All Images are Worth 16x16 Words: Dynamic Transformers for Efficient Image Recognition,78.48%,,,https://paperswithcode.com/paper/not-all-images-are-worth-16x16-words-dynamic,2021,Transformer,Lunit Inc.,
345,SRM-ResNet-101,SRM : A Style-based Recalibration Module for Convolutional Neural Networks,78.47%,,,https://paperswithcode.com/paper/srm-a-style-based-recalibration-module-for,2019,,Samsung,"Cornell University, Higher School of Economics, Lomonosov Moscow State University"
346,DenseNet-161 + SWA,Averaging Weights Leads to Wider Optima and Better Generalization,78.44%,,,https://paperswithcode.com/paper/averaging-weights-leads-to-wider-optima-and,2018,,"Naver Corp., Line Plus Corp.",Yonsei University
347,ResNet-50,CutMix: Regularization Strategy to Train Strong Classifiers with Localizable Features,78.40%,94.10%,,https://paperswithcode.com/paper/cutmix-regularization-strategy-to-train,2019,ResNet,ByteDance,Peking University
348,RedNet-50,Involution: Inverting the Inherence of Convolution for Visual Recognition,78.40%,,15.5M,https://paperswithcode.com/paper/involution-inverting-the-inherence-of,2021,,Apple,
349,MobileViT,"MobileViT: Light-weight, General-purpose, and Mobile-friendly Vision Transformer",78.40%,,,https://paperswithcode.com/paper/mobilevit-light-weight-general-purpose-and,2021,,Google Brain,
350,ResNet-50 + DropBlock,DropBlock: A regularization method for convolutional networks,78.35%,94.15%,,https://paperswithcode.com/paper/dropblock-a-regularization-method-for,2018,ResNet,Google Brain,
351,EfficientNet-B0,CondConv: Conditionally Parameterized Convolutions for Efficient Inference,78.30%,,,https://paperswithcode.com/paper/soft-conditional-computation,2019,EfficientNet,Microsoft,
352,ResNet-101,Deep Residual Learning for Image Recognition,78.25%,93.95%,40M,https://paperswithcode.com/paper/deep-residual-learning-for-image-recognition,2015,ResNet,,"ETH Zurich, KU Leuven"
353,LocalViT-PVT,LocalViT: Bringing Locality to Vision Transformers,78.20%,94.20%,,https://paperswithcode.com/paper/localvit-bringing-locality-to-vision,2021,Transformer,Facebook AI Research,KU Leuven
354,MultiGrain R50-AA-224,MultiGrain: a unified image embedding for classes and instances,78.20%,93.90%,,https://paperswithcode.com/paper/multigrain-a-unified-image-embedding-for,2019,,,Nanjing University
355,ResNet-50,LIP: Local Importance-based Pooling,78.15%,94.02%,25.8M,https://paperswithcode.com/paper/lip-local-importance-based-pooling,2019,ResNet,,"Universitat Paris-Est, EcoledesPonts Paris Tech"
356,WRN-50-2-bottleneck,Wide Residual Networks,78.10%,93.97%,68.9M,https://paperswithcode.com/paper/wide-residual-networks,2016,,Facebook AI Research,Sorbonne University
357,ResNet50,ResNet strikes back: An improved training procedure in timm,78.10%,,25M,https://paperswithcode.com/paper/resnet-strikes-back-an-improved-training,2021,,,Monash University
358,HVT-S-1,Scalable Vision Transformers with Hierarchical Pooling,78%,93.83%,21.74M,https://paperswithcode.com/paper/scalable-visual-transformers-with,2021,,JD Explore,University of Sydney
359,ViTAE-6M,ViTAE: Vision Transformer Advanced by Exploring Intrinsic Inductive Bias,77.90%,,6.5M,https://paperswithcode.com/paper/vitae-vision-transformer-advanced-by,2021,,Qihoo 360,"National University of Singapore, Beijing Institute of Technology, National University of Defense Technology"
360,DPN-68,Dual Path Networks,77.85%,94.10%,,https://paperswithcode.com/paper/dual-path-networks,2017,,Facebook AI Research,Cornell University
361,DenseNet-264,Densely Connected Convolutional Networks,77.85%,93.88%,,https://paperswithcode.com/paper/densely-connected-convolutional-networks,2016,,"Facebook AI Research, Valeo","Inria, Sorbonne University"
362,ResMLP-12,ResMLP: Feedforward networks for image classification with data-efficient training,77.80%,,15M,https://paperswithcode.com/paper/resmlp-feedforward-networks-for-image,2021,,Kakao Brain,
363,ResNet-50,Fast AutoAugment,77.60%,95.30%,,https://paperswithcode.com/paper/fast-autoaugment,2019,ResNet,ByteDance,Peking University
364,RedNet-38,Involution: Inverting the Inherence of Convolution for Visual Recognition,77.60%,,12.4M,https://paperswithcode.com/paper/involution-inverting-the-inherence-of,2021,,,National University of Singapore
365,WideNet-B,Go Wider Instead of Deeper,77.54%,,29M,https://paperswithcode.com/paper/go-wider-instead-of-deeper,2021,,,"SunYat-sen University, UCLA"
366,ACNet,Adaptively Connected Neural Networks,77.50%,,29.38M,https://paperswithcode.com/paper/adaptively-connected-neural-networks,2019,ResNet,Google Brain,Carnegie Mellon University
367,EfficientNet-B0,AutoDropout: Learning Dropout Patterns to Regularize Deep Networks,77.50%,,,https://paperswithcode.com/paper/autodropout-learning-dropout-patterns-to,2021,EfficientNet,,"Tianjin University, Dalian University of Technology, Harbin Institute of Technology"
368,ECA-Net,ECA-Net: Efficient Channel Attention for Deep Convolutional Neural Networks,77.48%,93.68%,24.37M,https://paperswithcode.com/paper/eca-net-efficient-channel-attention-for-deep,2019,ResNet,Facebook AI Research,Cornell University
369,DenseNet-201,Densely Connected Convolutional Networks,77.42%,93.66%,,https://paperswithcode.com/paper/densely-connected-convolutional-networks,2016,,Google,
370,ResnetV2 50,Filter Response Normalization Layer: Eliminating Batch Dependence in the Training of Deep Neural Networks,77.21%,93.57%,,https://paperswithcode.com/paper/filter-response-normalization-layer,2019,ResNet,,"Imperial College London, EPFL, University of Athens"
371,Prodpoly,Deep Polynomial Neural Networks,77.17%,93.56%,,https://paperswithcode.com/paper/deep-polynomial-neural-networks,2020,,Amazon,
372,ResNet-50-D,Bag of Tricks for Image Classification with Convolutional Neural Networks,77.16%,93.52%,25M,https://paperswithcode.com/paper/bag-of-tricks-for-image-classification-with,2018,ResNet,Microsoft,
373,ResNet-50,Deep Residual Learning for Image Recognition,77.15%,93.29%,,https://paperswithcode.com/paper/deep-residual-learning-for-image-recognition,2015,ResNet,DFKI,
374,Inception v3,What do Deep Networks Like to See?,77.12%,,,https://paperswithcode.com/paper/what-do-deep-networks-like-to-see,2018,,SenseTime,"Tsinghua University, Huazhong University of Science and Technology"
375,GreedyNAS-A,GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet,77.10%,93.30%,6.5M,https://paperswithcode.com/paper/greedynas-towards-fast-one-shot-nas-with,2020,,Google Brain,
376,MixNet-M,MixConv: Mixed Depthwise Convolutional Kernels,77%,93.30%,5M,https://paperswithcode.com/paper/mixnet-mixed-depthwise-convolutional-kernels,2019,,DFKI,
377,SSAL-Resnet50,Contextual Classification Using Self-Supervised Auxiliary Models for Deep Neural Networks,77.00%,,,https://paperswithcode.com/paper/contextual-classification-using-self,2021,ResNet,Xiaomi,
378,SCARLET-A,SCARLET-NAS: Bridging the Gap between Stability and Scalability in Weight-sharing Neural Architecture Search,76.90%,93.40%,6.7M,https://paperswithcode.com/paper/scarletnas-bridging-the-gap-between,2019,,JD Explore,University of Sydney
379,ViTAE-T-Stage,ViTAE: Vision Transformer Advanced by Exploring Intrinsic Inductive Bias,76.80%,93.5,4.8M,https://paperswithcode.com/paper/vitae-vision-transformer-advanced-by,2021,,SenseTime,"Tsinghua University, Huazhong University of Science and Technology"
380,GreedyNAS-B,GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet,76.80%,93%,5.2M,https://paperswithcode.com/paper/greedynas-towards-fast-one-shot-nas-with,2020,,PicsArt Inc.,"University of Oregon, UIUC"
381,ConvMLP-S,ConvMLP: Hierarchical Convolutional MLPs for Vision,76.8,,9M,https://paperswithcode.com/paper/convmlp-hierarchical-convolutional-mlps-for,2021,,,"University of Maryland CollegePark, Johns Hopkins University, Gwangju Institute of Science and Technology"
382,Perona Malik,Learning Visual Representations for Transfer Learning by Suppressing Texture,76.71%,,,https://paperswithcode.com/paper/learning-visual-representations-for-transfer-1,2020,,Google Brain,
383,MnasNet-A3,MnasNet: Platform-Aware Neural Architecture Search for Mobile,76.70%,93.30%,5.2M,https://paperswithcode.com/paper/mnasnet-platform-aware-neural-architecture,2018,,Facebook AI Research,Ecole Normale
384,ConViT-Ti+,ConViT: Improving Vision Transformers with Soft Convolutional Inductive Biases,76.70%,,10M,https://paperswithcode.com/paper/convit-improving-vision-transformers-with,2021,Transformer,,Nanjing University
385,LIP-DenseNet-BC-121,LIP: Local Importance-based Pooling,76.64%,93.16%,8.7M,https://paperswithcode.com/paper/lip-local-importance-based-pooling,2019,,Huawei Inc.,Shanghai Jiao Tong University
386,ResNet-50,X-volution: On the unification of convolution and self-attention,76.60%,93.30%,,https://paperswithcode.com/paper/x-volution-on-the-unification-of-convolution,2021,ResNet,,Michigan State University
387,MUXNet-l,MUXConv: Information Multiplexing in Convolutional Neural Networks,76.60%,93.20%,4.0M,https://paperswithcode.com/paper/muxconv-information-multiplexing-in,2020,,Facebook AI Research,Sorbonne University
388,DeiT-Ti,Training data-efficient image transformers & distillation through attention,76.60%,,5M,https://paperswithcode.com/paper/training-data-efficient-image-transformers,2020,Transformer,Google Brain,
389,Mixer-B/16,MLP-Mixer: An all-MLP Architecture for Vision,76.44%,,46M,https://paperswithcode.com/paper/mlp-mixer-an-all-mlp-architecture-for-vision,2021,,Qihoo 360,"National University of Singapore, Beijing Institute of Technology, National University of Defense Technology"
390,DPN-68,Dual Path Networks,76.43%,93.07%,,https://paperswithcode.com/paper/dual-path-networks,2017,,SenseTime ,Nanyang Technological University
391,CeiT-T,Incorporating Convolution Designs into Visual Transformers,76.40%,93.40%,6.4M,https://paperswithcode.com/paper/incorporating-convolution-designs-into-visual,2021,Transformer,DeepMind,
392,Perceiver,Perceiver: General Perception with Iterative Attention,76.40%,,,https://paperswithcode.com/paper/perceiver-general-perception-with-iterative,2021,,Google Brain,
393,EfficientNet-B0,EfficientNet: Rethinking Model Scaling for Convolutional Neural Networks,76.30%,93.20%,5.3M,https://paperswithcode.com/paper/efficientnet-rethinking-model-scaling-for,2019,EfficientNet,Xiaomi,
394,SCARLET-B,SCARLET-NAS: Bridging the Gap between Stability and Scalability in Weight-sharing Neural Architecture Search,76.30%,93%,6.5M,https://paperswithcode.com/paper/scarletnas-bridging-the-gap-between,2019,,"SenseTime, Baidu Inc.","University of Sydney, University of Oxford"
395,GLiT-Tinys,GLiT: Neural Architecture Search for Global and Local Image Transformer,76.30%,,7.2M,https://paperswithcode.com/paper/glit-neural-architecture-search-for-global,2021,,Microsoft,International Digital Economy Academy
396,ViL-Tiny,Multi-Scale Vision Longformer: A New Vision Transformer for High-Resolution Image Encoding,76.30%,,6.7M,https://paperswithcode.com/paper/2103-15358,2021,Transformer,Facebook AI Research,
397,RegNetY-800MF,Designing Network Design Spaces,76.30%,,6.3M,https://paperswithcode.com/paper/designing-network-design-spaces,2020,,Facebook AI Research,"Cornell University, Tsinghua University"
398,DenseNet-169,Densely Connected Convolutional Networks,76.20%,93.15%,,https://paperswithcode.com/paper/densely-connected-convolutional-networks,2016,,"IMEC, PicsArt Inc. ",Vrije Universiteit Brussel
399,SkipblockNet-M,Bias Loss for Mobile Neural Networks,76.20%,92.80%,5.5M,https://paperswithcode.com/paper/bias-loss-for-mobile-neural-networks,2021,,SenseTime,"Tsinghua University, Huazhong University of Science and Technology"
400,GreedyNAS-C,GreedyNAS: Towards Fast One-Shot NAS with Greedy Supernet,76.20%,92.50%,4.7M,https://paperswithcode.com/paper/greedynas-towards-fast-one-shot-nas-with,2020,,Google Brain,Harvard University
401,ResNet-50 MLPerf v0.7 - 2512 steps,"A Large Batch Optimizer Reality Check: Traditional, Generic Optimizers Suffice Across Batch Sizes",75.92%,,,https://paperswithcode.com/paper/a-large-batch-optimizer-reality-check,2021,ResNet,,"ETH Zurich, KU Leuven"
402,LocalViT-TNT,LocalViT: Bringing Locality to Vision Transformers,75.90%,93%,,https://paperswithcode.com/paper/localvit-bringing-locality-to-vision,2021,Transformer,Xiaomi,
403,MoGA-A,MoGA: Searching Beyond MobileNetV3,75.90%,92.80%,5.1M,https://paperswithcode.com/paper/moga-searching-beyond-mobilenetv3,2019,,Horizon Robotics,Huazhong University of Science and Technology
404,DenseNAS-A,Densely Connected Search Space for More Flexible Neural Architecture Search,75.90%,92.60%,,https://paperswithcode.com/paper/densely-connected-search-space-for-more,2019,,ByteDance,Peking University
405,RedNet-26,Involution: Inverting the Inherence of Convolution for Visual Recognition,75.90%,,9.2M,https://paperswithcode.com/paper/involution-inverting-the-inherence-of,2021,,,University of Chicago
406,FractalNet-34,FractalNet: Ultra-Deep Neural Networks without Residuals,75.88%,92.61%,,https://paperswithcode.com/paper/fractalnet-ultra-deep-neural-networks-without,2016,,Google Brain,
407,MixNet-S,MixConv: Mixed Depthwise Convolutional Kernels,75.80%,92.80%,4.1M,https://paperswithcode.com/paper/mixnet-mixed-depthwise-convolutional-kernels,2019,,Uber,
408,CoordConv ResNet-50,An Intriguing Failing of Convolutional Neural Networks and the CoordConv Solution,75.74%,92.75%,,https://paperswithcode.com/paper/an-intriguing-failing-of-convolutional-neural,2018,ResNet,Huawei Inc.,"Peking University, University of Sydney"
409,GhostNet,GhostNet: More Features from Cheap Operations,75.70%,92.70%,7.3M,https://paperswithcode.com/paper/ghostnet-more-features-from-cheap-operations,2019,,Microsoft Asia,Tsinghua University
410,LR-Net-26,Local Relation Networks for Image Recognition,75.70%,92.60%,,https://paperswithcode.com/paper/190411491,2019,,Facebook,
411,LeViT-128S,LeViT: a Vision Transformer in ConvNet's Clothing for Faster Inference,75.70%,,,https://paperswithcode.com/paper/levit-a-vision-transformer-in-convnet-s,2021,Transformer,Google Brain,
412,MnasNet-A2,MnasNet: Platform-Aware Neural Architecture Search for Mobile,75.60%,92.70%,4.8M,https://paperswithcode.com/paper/mnasnet-platform-aware-neural-architecture,2018,,Huawei Inc.,
413,SCARLET-C,SCARLET-NAS: Bridging the Gap between Stability and Scalability in Weight-sharing Neural Architecture Search,75.60%,92.60%,6M,https://paperswithcode.com/paper/scarletnas-bridging-the-gap-between,2019,,Facebook AI Research,
414,RegNetY-600MF,Designing Network Design Spaces,75.50%,,6.1M,https://paperswithcode.com/paper/designing-network-design-spaces,2020,,Facebook AI Research,"Universitat Grenoble Alpes, McGill University"
415,PAWS,Semi-Supervised Learning of Visual Features by Non-Parametrically Predicting View Assignments with Support Samples,75.50%,,,https://paperswithcode.com/paper/semi-supervised-learning-of-visual-features,2021,ResNet,Megvii,Tsinghua University
416,ShuffleNet V2,ShuffleNet V2: Practical Guidelines for Efficient CNN Architecture Design,75.40%,,,https://paperswithcode.com/paper/shufflenet-v2-practical-guidelines-for,2018,,,Michigan State University
417,MUXNet-m,MUXConv: Information Multiplexing in Convolutional Neural Networks,75.30%,92.50%,3.4M,https://paperswithcode.com/paper/muxconv-information-multiplexing-in,2020,,Microsoft,
418,ResNet50,Deep Residual Learning for Image Recognition,75.30%,,25M,https://paperswithcode.com/paper/deep-residual-learning-for-image-recognition,2015,,JD Explore,University of Sydney
419,ViTAE-T,ViTAE: Vision Transformer Advanced by Exploring Intrinsic Inductive Bias,75.30%,,,https://paperswithcode.com/paper/vitae-vision-transformer-advanced-by,2021,,Google Brain,
420,MnasNet-A1,MnasNet: Platform-Aware Neural Architecture Search for Mobile,75.20%,92.50%,3.9M,https://paperswithcode.com/paper/mnasnet-platform-aware-neural-architecture,2018,,Google Brain,
421,MobileNet V3-Large 1.0,Searching for MobileNetV3,75.20%,,5.4M,https://paperswithcode.com/paper/searching-for-mobilenetv3,2019,,Facebook AI Research,KU Leuven
422,MultiGrain NASNet-A-Mobile,MultiGrain: a unified image embedding for classes and instances,75.10%,92.50%,,https://paperswithcode.com/paper/multigrain-a-unified-image-embedding-for,2019,,,University of Washington
423,DiCENet,DiCENet: Dimension-wise Convolutions for Efficient Networks,75.10%,,,https://paperswithcode.com/paper/dicenet-dimension-wise-convolutions-for,2019,,Huawei Inc.,Shanghai Jiao Tong University
